cvegeo,intralinks,size,grado,fuerza,longitude,latitude
0900200011095,28.0,266,313,586,-99.20832417660637,19.48297748993634
0900300011567,4.0,48,18,26,-99.1707083801032,19.310731018011474
0900500010243,22.0,200,72,138,-99.13911653004858,19.5360103301941
0900600010132,77.0,340,295,447,-99.10579409003944,19.402199615245284
0900700010816,3.0,38,21,21,-99.12724410984796,19.36337085975147
090070001216A,27.0,136,134,225,-99.06858940017275,19.30330346511513
0900700012954,43.0,97,46,65,-98.9861775950991,19.343858224981226
0900900110420,27.0,206,124,257,-98.99793067887043,19.21192215188102
0901400010153,27.0,119,61,111,-99.13255086013635,19.396773484890932
0901600010092,32.0,332,280,409,-99.21254806005697,19.458923815010337
0901600011086,"",5,2,2,-99.20830016986217,19.408348015634527
1501600060083,"",4,24,57,-98.63809207980051,19.72668921516403
150180003004A,"",15,109,147,-99.58550108433555,19.193925662015957
1503100011374,18.0,148,38,45,-98.94245558487074,19.427583570157374
1503300012856,9.0,82,17,22,-99.04099800998287,19.5081517599382
15036018A,0.0,0,0,0,-99.08358950009713,19.980483490468956
1503900011936,1.0,22,13,16,-98.90007972520964,19.3020600247372
150390726,"",19,10,11,-98.77475538988335,19.347274930055633
1505700010851,40.0,267,164,307,-99.26384307030013,19.446456994966994
1506000010912,"",17,7,7,-99.30550080996548,19.593111959879916
1506000821198,"",2,2,2,-99.35907696998598,19.619501354844253
1508100040575,"",21,46,73,-99.00406819509206,19.781416091455625
1508100191291,"",20,31,36,-99.00929679522602,19.692250682227662
1509900451417,0.0,0,0,0,-98.86773481289381,19.53151789630392
1510600864259,2.0,26,32,55,-99.61153083962353,19.28456723505536
1512100012437,"",4,29,36,-99.18067074980351,19.684467069900762
1512200010315,67.0,89,32,104,-98.94139645538695,19.293334914991746
1512200010387,207.0,337,174,496,-98.95849393024366,19.268242915117487
0900200010326,164.0,359,204,356,-99.18112766020329,19.486196720292405
0900300011020,19.0,182,82,95,-99.14163949501983,19.312900105102194
0900500010440,21.0,227,152,356,-99.15835583494189,19.518254034901197
0900500010760,48.0,120,37,54,-99.11655654518222,19.49138394515152
0900500011805,53.0,265,173,286,-99.11603111034154,19.46721958005314
0900500013341,8.0,79,55,81,-99.08621372994152,19.485387814777006
0900600010698,20.0,80,41,68,-99.09647866487776,19.391649284867437
0900700010977,115.0,284,153,333,-99.09797658484749,19.359289820304706
0900700011759,24.0,117,61,110,-99.0419386744889,19.340025519654276
0900700015357,22.0,163,70,100,-99.08088507713849,19.316561507399566
0900800010349,68.0,469,215,364,-99.24058746857577,19.297578835780133
0901200010784,45.0,165,109,221,-99.23725315489054,19.28003319487361
0901500011464,19.0,149,69,85,-99.16108965506983,19.4043550996379
0901600011226,17.0,225,138,180,-99.17298210969825,19.401151909974217
0901700011308,65.0,266,295,1443,-99.07997851464475,19.408892220604095
1306900010980,1.0,9,12,15,-98.97369033823169,19.86183716185414
